City,State/Country,Code
Aberdeen,SD,ABR
Abilene,TX,ABI
AdakIsland,AK,ADK
Akiachak,AK,KKI
Akiak,AK,AKI
Akron/Canton,OH,CAK
Akuton,AK,KQA
Alakanuk,AK,AUK
Alamogordo,NM,ALM
Alamosa,CO,ALS
Albany,NY,ALB
Albany,OR-Busservice,CVO
Albany,OR-Busservice,QWY
Albuquerque,NM,ABQ
Aleknagik,AK,WKK
Alexandria,LA,AEX
Allakaket,AK,AET
Allentown,PA,ABE
Alliance,NE,AIA
Alpena,MI,APN
Altoona,PA,AOO
Amarillo,TX,AMA
Ambler,AK,ABL
Anaktueuk,AK,AKP
Anchorage,AK,ANC
Angoon,AK,AGN
Aniak,AK,ANI
Anvik,AK,ANV
Appleton,WI,ATW
Arcata,CA,ACV
ArcticVillage,AK,ARC
Asheville,NC,AVL
Ashland,KY/Huntington,HTS
Aspen,CO,ASE
Athens,GA,AHN
Atka,AK,AKB
Atlanta,GA,ATL
AtlanticCity,NJ,AIY
Atqasuk,AK,ATK
Augusta,GA,AGS
Augusta,ME,AUG
Austin,TX,AUS
Bakersfield,CA,BFL
Baltimore,MD,BWI
Bangor,ME,BGR
BarHarbour,ME,BHB
Barrow,AK,BRW
BarterIsland,AK,BTI
BatonRouge,LA,BTR
BayCity,MI,MBS
Beaumont/PortArthur,TX,BPT
BeaverCreek,CO-Vanservice,ZBV
Beaver,AK,WBQ
Beckley,WV,BKW
Bedford,MA,BED
Belleville,IL,BLV
Bellingham,WA,BLI
Bemidji,MN,BJI
BentonHarbor,MI,BEH
Bethel,AK,BET
Bethlehem,PA,ABE
Bettles,AK,BTT
Billings,MT,BIL
Biloxi/Gulfport,MS,GPT
Binghamton,NY,BGM
BirchCreek,AK,KBC
Birmingham,AL,BHM
Bismarck,ND,BIS
BlockIsland,RI,BID
Bloomington,IL,BMI
Bluefield,WV,BLF
Boise,ID,BOI
Boston,MA,BOS
Boulder,CO-Busservice,XHH
Boulder,CO-HiltonsHarH,WHH
Boulder,CO-MunicipalAirport,WBU
Boundary,AK,BYA
BowlingGreen,KY,BWG
Bozeman,MT,BZN
Bradford,PA,BFD
Brainerd,MN,BRD
Brawnwood,TX,BWD
Breckonridge,CO-Vanservice,QKB
Bristol,VA,TRI
Brookings,SD,BKX
BrooksLodge,AK,RBH
Brownsville,TX,BRO
Brunswick,GA,BQK
Buckland,AK,BKC
Buffalo,NY,BUF
BullheadCity/Laughlin,AZ,IFP
Burbank,CA,BUR
Burlington,IA,BRL
Burlington,VT,BTV
Butte,MT,BTM
Canton/Akron,OH,CAK
CapeGirardeau,MO,CGI
CapeLisburne,AK,LUR
CapeNewenham,AK,EHM
Carbondale,IL,MDH
Carlsbad,CA,CLD
Carlsbad,NM,CNM
Carmel,CA,MRY
Casper,WY,CPR
CedarCity,UT,CDC
CedarRapids,IA,CID
Central,AK,CEM
Chadron,NE,CDR
Chalkyitsik,AK,CIK
Champaign/Urbana,IL,CMI
Charleston,SC,CHS
Charleston,WV,CRW
Charlotte,NC,CLT
Charlottesville,VA,CHO
Chattanooga,TN,CHA
Chefornak,AK,CYF
Chevak,AK,VAK
Cheyenne,WY,CYS
Chicago,IL-Meigs,CGX
Chicago,IL-Allairports,CHI
Chicago,IL-Midway,MDW
Chicago,IL-O'Hare,ORD
Chicken,AK,CKX
Chico,CA,CIC
Chignik,AK-Fisheries,KCG
Chignik,AK-,KCQ
Chignik,AK-Lagoon,KCL
Chisana,AK,CZN
Chisholm/Hibbing,MN,HIB
Chuathbaluk,AK,CHU
Cincinnati,OH,CVG
CircleHotSprings,AK,CHP
Circle,AK,IRC
ClarksPoint,AK,CLP
Clarksburg,WV,CKB
Clearwater/StPetersburg,FL,PIE
Cleveland,OH,CLE
Clovis,NM,CVN
Cody/Yellowstone,WY,COD
CoffeePoint,AK,CFA
CoffmanCove,AK,KCC
ColdBay,AK,CDB
CollegeStation,TX,CLL
ColoradoSprings,CO,COS
Columbia,MO,COU
Columbia,SC,CAE
Columbus,GA,CSG
Columbus,MS,GTR
Columbus,OH,CMH
Concord,CA,CCR
Concordia,KS,CNK
CopperMountain,CO-Vanservice,QCE
Cordova,AK,CDV
CorpusChristi,TX,CRP
Cortez,CO,CEZ
Craig,AK,CGA
CrescentCity,CA,CEC
CrookedCreek,AK,CKO
CubeCove,AK,CUW
Cumberland,MD,CBE
Dallas/FortWorth,TX,DFW
Dayton,OH,DAY
DaytonaBeach,FL,DAB
Decatur,IL,DEC
Deering,AK,DRG
DeltaJunction,AK,DJN
Denver,CO-International,DEN
Denver,CO-LongmontBusservice,QWM
DesMoines,IA,DSM
Detroit,MI-Allairports,DTT
Detroit,MI-Metro/WayneCounty,DTW
Devil'sLake,ND,DVL
Dickinson,ND,DIK
Dillingham,AK,DLG
DodgeCity,KS,DDC
Dothan,AL,DHN
Dubois,PA,DUJ
Dubuque,IA,DBQ
Duluth,MN,DLH
Durango,CO,DRO
Durham,NC,RDU
Durham/Raleigh,NC,RDU
DutchHarbor,AK,DUT
Easton,PA,ABE
EauClaire,WI,EAU
EdnaBay,AK,EDA
Eek,AK,EEK
Ekuk,AK,KKU
Ekwok,AK,KEK
ElCentro,CA,IPL
ElDorado,AR,ELD
ElPaso,TX,ELP
ElfinCove,AK,ELV
Elim,AK,ELI
Elko,NV,EKO
Elmira,NY,ELM
Ely,MN,LYU
Emmonak,AK,EMK
Endicott,NY,BGM
Enid,OK,WDG
Erie,PA,ERI
Escanaba,MI,ESC
Eugene,OR,EUG
Eureka/Arcata,CA,ACV
Eureka,NV,EUE
Evansville,IN,EVV
Fairbanks,AK,FAI
Fargo,ND,FAR
Fayetteville,AR-Municipal/Drake,FYV
Fayetteville,AR-NorthwestArkansasRegional,XNA
Fayetteville,NC,FAY
Flagstaff,AZ,FLG
Flint,MI,FNT
Florence,SC,FLO
Florence/MuscleShoals/Sheffield,AL,MSL
FortCollins/Loveland,CO-MunicipalAirport,FNL
FortCollins/Loveland,CO-Busservice,QWF
FortDodge,IA,FOD
FortLauderdale,FL,FLL
FortLeonardWood,MO,TBN
FortMyers,FL,RSW
FortSmith,AR,FSM
FortWaltonBeach,FL,VPS
FortWayne,IN,FWA
FortWorth/Dallas,TX,DFW
Franklin,PA,FKL
Fresno,CA,FAT
Gainesville,FL,GNV
Gallup,NM,GUP
GardenCity,KS,GCK
Gary,IN,GYY
Gillette,WY,GCC
Gladewater/Kilgore,TX,GGG
Glasgow,MT,GGW
Glendive,MT,GDV
Golovin,AK,GLV
GoodnewsBay,AK,GNU
GrandCanyon,AZ-Heliport,JGC
GrandCanyon,AZ-NationalPark,GCN
GrandForks,ND,GFK
GrandIsland,NE,GRI
GrandJunction,CO,GJT
GrandRapids,MI,GRR
GrandRapids,MN,GPZ
Grayling,AK,KGX
GreatFalls,MT,GTF
GreenBay,WI,GRB
Greensboro,NC,GSO
Greenville,MS,GLH
Greenville,NC,PGV
Greenville/Spartanburg,SC,GSP
Groton/NewLondon,CT,GON
Gulfport,MS,GPT
Gunnison,CO,GUC
Gustavus,AK,GST
Hagerstown,MD,HGR
Hailey,ID,SUN
Haines,AK,HNS
Hampton,VA,PHF
Hana,HI-IslandofMaui,HNM
Hanapepe,HI,PAK
Hancock,MI,CMX
Hanover,NH,LEB
Harlingen,TX,HRL
Harrisburg,PA,MDT
Harrison,AR,HRO
Hartford,CT,BDL
Havasupai,AZ,HAE
Havre,MT,HVR
Hayden,CO,HDN
Hays,KS,HYS
HealyLake,AK,HKB
Helena,MT,HLN
Hendersonville,NC,AVL
Hibbing/Chisholm,MN,HIB
Hickory,NC,HKY
HighPoint,NC,GSO
Hilo,HI-IslandofHawaii,ITO
HiltonHead,SC,HHH
Hobbs,NM,HBB
Hollis,AK,HYL
HolyCross,AK,HCR
Homer,AK,HOM
Honolulu,HI-IslandofOahu,HNL
Hoolehua,HI-IslandofMolokai,MKK
Hoonah,AK,HNH
HooperBay,AK,HPB
HotSprings,AR,HOT
Houston,TX-Allairports,HOU
Houston,TX-Hobby,HOU
Houston,TX-Intercontinental,IAH
Hughes,AK,HUS
Huntington,WV/Ashland,HTS
Huntsville,AL,HSV
Huron,SD,HON
Huslia,AK,HSL
Hyannis,MA,HYA
Hydaburg,AK,HYG
IdahoFalls,ID,IDA
Igiugig,AK,IGG
Iliamna,AK,ILI
Imperial,CA,IPL
Indianapolis,IN,IND
InternationalFalls,MN,INL
Inyokern,CA,IYK
IronMountain,MI,IMT
Ironwood,MI,IWD
Islip,NY,ISP
Ithaca,NY,ITH
JacksonHole,WY,JAC
Jackson,MS,JAN
Jackson,TN,MKL
Jacksonville,FL,JAX
Jacksonville,NC,OAJ
Jamestown,ND,JMS
Jamestown,NY,JHW
Janesville,WI,JVL
JohnsonCity,NY,BGM
JohnsonCity,TN,TRI
Johnstown,PA,JST
Jonesboro,AR,JBR
Joplin,MO,JLN
Juneau,AK,JNU
Kahului,HI-IslandofMaui,,OGG
Kake,AK,KAE
Kakhonak,AK,KNK
Kalamazoo,MI,AZO
Kalaupapa,HI-IslandofMolokai,,LUP
Kalskag,AK,KLG
Kaltag,AK,KAL
Kamuela,HI-IslandofHawaii,,MUE
KansasCity,MO,MCI
Kapalua,HI-IslandofMaui,,JHM
Kasaan,AK,KXA
Kasigluk,AK,KUK
KauaiIsland/Lihue,HI,LIH
Kearney,NE,EAR
Keene,NH,EEN
Kenai,AK,ENA
Ketchikan,AK,KTN
KeyWest,FL,EYW
Keystone,CO-Vanservice,QKS
Kiana,AK,IAN
Kilgore/Gladewater,TX,GGG
Killeen,TX,ILE
KingCove,AK,KVC
KingSalmon,AK,AKN
Kingman,AZ,IGM
Kingsport,TN,TRI
Kipnuk,AK,KPN
Kirksville,MO,IRK
Kivalina,AK,KVL
KlamathFalls,OR,LMT
Klawock,AK,KLW
Knoxville,TN,TYS
Kobuk,AK,OBU
Kodiak,AK,ADQ
Kona,HI-IslandofHawaii,KOA
Kongiganak,AK,KKH
Kotlik,AK,KOT
Kotzebue,AK,OTZ
Koyukuk,AK,KYU
Kwethluk,AK,KWT
Kwigillingok,AK,KWK
LaCrosse,WI,LSE
Lafayette,IN,LAF
Lafayette,LA,LFT
LakeCharles,LA,LCH
LakeHavasuCity,AZ,HII
LakeMinchumina,AK,LMA
LanaiCity,HI-IslandofLanai,LNY
Lancaster,PA,LNS
Lansing,MI,LAN
Laramie,WY,LAR
Laredo,TX,LRD
LasVegas,NV,LAS
Latrobe,PA,LBE
Laurel,MS,PIB
Lawton,OK,LAW
Lebanon,NH,LEB
Levelock,AK,KLL
Lewisburg,WV,LWB
Lewiston,ID,LWS
Lewistown,MT,LWT
Lexington,KY,LEX
Liberal,KS,LBL
Lihue,HI-IslandofKaui,LIH
Lincoln,NE,LNK
LittleRock,AR,LIT
LongBeach,CA,LGB
Longview,TX,GGG
LopezIsland,WA,LPS
LosAngeles,CA,LAX
Louisville,KY,SDF
Loveland/FortCollins,CO-MunicipalAirport,FNL
Loveland/FortCollins,CO-Busservice,QWF
Lubbock,TX,LBB
Macon,GA,MCN
Madison,WI,MSN
Madras,OR,MDJ
Manchester,NH,MHT
Manhattan,KS,MHK
Manistee,MI,MBL
Mankato,MN,MKT
ManleyHotSprings,AK,MLY
Manokotak,AK,KMO
Marietta,OH/Parkersburg,PKB
Marion,IL,MWA
Marquette,MI,MQT
Marshall,AK,MLL
Martha'sVineyard,MA,MVY
Martinsburg,PA,AOO
MasonCity,IA,MCW
Massena,NY,MSS
Maui,HI,OGG
Mcallen,TX,MFE
Mccook,NE,MCK
Mcgrath,AK,MCG
Medford,OR,MFR
Mekoryuk,AK,MYU
Melbourne,FL,MLB
Memphis,TN,MEM
Merced,CA,MCE
Meridian,MS,MEI
Metlakatla,AK,MTM
MeyersChuck,AK,WMK
Miami,FL-International,MIA
Miami,FL-SeaPlaneBase,MPB
Midland,MI,MBS
Midland/Odessa,TX,MAF
MilesCity,MT,MLS
Milwaukee,WI,MKE
Minneapolis,MN,MSP
Minot,ND,MOT
Minto,AK,MNT
Mission,TX,MFE
Missoula,MT,MSO
Moab,UT,CNY
Mobile,AL,MOB
Modesto,CA,MOD
Moline,IL,MLI
Monroe,LA,MLU
Monterey,CA,MRY
Montgomery,AL,MGM
Montrose,CO,MTJ
Morgantown,WV,MGW
MosesLake,WA,MWH
MountainHome,AR,WMH
MountainVillage,AK,MOU
MuscleShoals,AL,MSL
Muskegon,MI,MKG
MyrtleBeach,SC,MYR
Nantucket,MA,ACK
Napakiak,AK,WNA
Napaskiak,AK,PKA
Naples,FL,APF
Nashville,TN,BNA
Naukiti,AK,NKI
NelsonLagoon,AK,NLG
NewChenega,AK,NCN
NewHaven,CT,HVN
NewKoliganek,AK,KGK
NewLondon/Groton,GON
NewOrleans,LA,MSY
NewStuyahok,AK,KNW
NewYork,NY-Allairports,NYC
NewYork,NY-Kennedy,JFK
NewYork,NY-LaGuardia,LGA
Newark,NJ,EWR
Newburgh/StewartField,NY,SWF
NewportNews,VA,PHF
Newtok,AK,WWT
Nightmute,AK,NME
Nikolai,AK,NIB
Nikolski,AK,IKO
Noatak,AK,WTK
Nome,AK,OME
Nondalton,AK,NNL
Noorvik,AK,ORV
Norfolk,NE,OFK
Norfolk,VA,ORF
NorthBend,OR,OTH
NorthPlatte,NE,LBF
Northway,AK,ORT
Nuiqsut,AK,NUI
Nulato,AK,NUL
Nunapitchuk,AK,NUP
Oakland,CA,OAK
Odessa/Midland,TX,MAF
Ogdensburg,NY,OGS
OklahomaCity,OK,OKC
Omaha,NE,OMA
Ontario,CA,ONT
OrangeCounty,CA,SNA
Orlando,FL-Herndon,ORL
Orlando,FL-International,MCO
Oshkosh,WI,OSH
Ottumwa,IA,OTM
Owensboro,KY,OWB
Oxnard/Ventura,CA,OXR
PalmSprings,CA,PSP
PanamaCity,FL,PFN
Parkersburg,WV/Marietta,PKB
Pasco,WA,PSC
PedroBay,AK,PDB
Pelican,AK,PEC
Pellston,MI,PLN
Pendleton,OR,PDT
Pensacola,FL,PNS
Peoria,IL,PIA
Perryville,AK,KPV
Petersburg,AK,PSG
Philadelphia,PA-International,PHL
Philadelphia,PA-Trenton/MercerNJ,TTN
Phoenix,AZ,PHX
Pierre,SD,PIR
PilotPoint,AK-UgashnikBay,UGB
PilotPoint,AK,PIP
PilotStation,AK,PQS
Pittsburgh,PA,PIT
Platinum,AK,PTU
Plattsburgh,NY,PLB
Pocatello,ID,PIH
PointBaker,AK,KPB
PointHope,AK,PHO
PointLay,AK,PIZ
PoncaCity,OK,PNC
Ponce,PuertoRico,PSE
PortAlsworth,AK,PTA
PortAngeles,WA,CLM
PortArthur/Beaumont,TX,BPT
PortClarence,AK,KPC
PortHeiden,AK,PTH
PortMoller,AK,PML
PortProtection,AK,PPV
PortageCreek,AK,PCA
Portland,ME,PWM
Portland,OR,PDX
Portsmouth,NH,PSM
Poughkeepsie,NY,POU
Prescott,AZ,PRC
PresqueIsle,ME,PQI
Princeton,WV,BLF
Providence,RI,PVD
Provincetown,MA,PVC
PrudhoeBay/Deadhorse,AK,SCC
Pueblo,CO,PUB
Pullman,WA,PUW
Quincy,IL,UIN
Quinhagak,AK,KWN
Raleigh/Durham,NC,RDU
Rampart,AK,RMP
RapidCity,SD,RAP
Reading,PA,RDG
RedDevil,AK,RDV
Redding,CA,RDD
Redmond,OR,RDM
Reno,NV,RNO
Rhinelander,WI,,RHI
Richmond,VA,RIC
Riverton,WY,RIW
Roanoke,VA,ROA
RocheHarbor,WA,RCE
Rochester,MN,RST
Rochester,NY,ROC
RockSprings,WY,RKS
Rockford,IL-Park&amp;RideBus,ZRF
Rockford,IL-VanGalderBus,ZRK
Rockland,ME,RKD
Rosario,WA,RSJ
Roswell,NM,ROW
Ruby,AK,RBY
RussianMission,AK,RSH
Rutland,VT,RUT
Sacramento,CA,SMF
Saginaw,MI,MBS
SaintCloud,MN,STC
SaintGeorgeIsland,AK,STG
SaintGeorge,UT,SGU
SaintLouis,MO,STL
SaintMary's,AK,KSM
SaintMichael,AK,SMK
SaintPaulIsland,AK,SNP
Salem,OR,SLE
Salina,KS,SLN
Salisbury-OceanCity,MD,SBY
SaltLakeCity,UT,SLC
SanAngelo,TX,SJT
SanAntonio,TX,SAT
SanDiego,CA,SAN
SanFrancisco,CA,SFO
SanJose,CA,SJC
SanJuan,PuertoRico,SJU
SanLuisObispo,CA,SBP
SandPoint,AK,SDP
SantaAna,CA,SNA
SantaBarbara,CA,SBA
SantaFe,NM,SAF
SantaMaria,CA,SMX
SantaRosa,CA,STS
SaranacLake,NY,SLK
Sarasota,FL,SRQ
SaultSteMarie,MI,CIU
Savannah,GA,SAV
Savoonga,AK,SVA
ScammonBay,AK,SCM
Scottsbluff,NE,BFF
Scottsdale,AZ,SDL
Scranton,PA,AVP
Seattle,WA-LakeUnionSPB,LKE
Seattle,WA-Seattle/TacomaInternational,SEA
Selawik,AK,WLK
Seward,AK,SWD
Shageluk,AK,SHX
Shaktoolik,AK,SKK
Sheffield/Florence/MuscleShoals,AL,MSL
SheldonPoint,AK,SXP
Sheridan,WY,SHR
Shishmaref,AK,SHH
Shreveport,LA,SHV
Shungnak,AK,SHG
SilverCity,NM,SVC
SiouxCity,IA,SUX
SiouxFalls,SD,FSD
Sitka,AK,SIT
Skagway,AK,SGY
Sleetmore,AK,SLQ
SouthBend,IN,SBN
SouthNaknek,AK,WSN
SouthernPines,NC,SOP
Spartanburg/Greenville,SC,GSP
Spokane,WA,GEG
Springfield,IL,SPI
Springfield,MO,SGF
StPetersburg/Clearwater,FL,PIE
StateCollege/UniversityPark,PA,SCE
Staunton,VA,SHD
SteamboatSprings,CO,SBS
Stebbins,AK,WBB
StevensPoint/Wausau,WI,CWA
StevensVillage,AK,SVS
StewartField/Newburgh,NY,SWF
Stockton,CA,SCK
StonyRiver,AK,SRV
SunValley,ID,SUN
Syracuse,NY,SYR
Takotna,AK,TCT
Talkeetna,AK,TKA
Tallahassee,FL,TLH
Tampa,FL,TPA
Tanana,AK,TAL
Taos,NM,TSM
Tatitlek,AK,TEK
TellerMission,AK,KTS
Telluride,CO,TEX
TenakeeSprings,AK,TKE
TerreHaute,IN,HUF
Tetlin,AK,TEH
Texarkana,AR,TXK
ThiefRiverFalls,MN,TVF
ThorneBay,AK,KTB
TinCity,AK,TNC
TogiakVillage,AK,TOG
Tok,AK,TKJ
ToksookBay,AK,OOK
Toledo,OH,TOL
Topeka,KS,FOE
TraverseCity,MI,TVC
Trenton/Mercer,NJ,TTN
Tucson,AZ,TUS
Tulsa,OK,TUL
Tuluksak,AK,TLT
Tuntutuliak,AK,WTL
Tununak,AK,TNK
Tupelo,MS,TUP
Tuscaloosa,AL,TCL
TwinFalls,ID,TWF
TwinHills,AK,TWA
Tyler,TX,TYR
Unalakleet,AK,UNK
Urbana/Champaign,IL,CMI
Utica,NY,UCA
UtopiaCreek,AK,UTO
Vail,CO-EagleCountyAirport,EGE
Vail,CO-Vanservice,QBF
Valdez,AK,VDZ
Valdosta,GA,VLD
Valparaiso,FL,VPS
Venetie,AK,VEE
Ventura/Oxnard,CA,OXR
Vernal,UT,VEL
Victoria,TX,VCT
Visalia,CA,VIS
Waco,TX,ACT
Wainwright,AK,AIN
Wales,AK,WAA
WallaWalla,WA,ALW
WashingtonDC-Allairports,,WAS
WashingtonDC-Dulles,,IAD
WashingtonDC-National,,DCA
Waterfall,AK,KWF
Waterloo,IA,ALO
Watertown,NY,ART
Watertown,SD,ATY
Wausau/StevensPoint,WI,CWA
Wenatchee,WA,EAT
WestPalmBeach,FL,PBI
WestYellowstone,MT,WYS
WestchesterCounty,NY,HPN
Westerly,RI,WST
Westsound,WA,WSX
WhalePass,AK,WWP
WhiteMountain,AK,WMO
WhiteRiver,VT,LEB
WichitaFalls,TX,SPS
Wichita,KS,ICT
WilkesBarre,PA,AVP
Williamsburg,VA,PHF
Williamsport,PA,IPT
Williston,ND,ISN
Wilmington,NC,ILM
WindsorLocks,CT,BDL
Worcester,MA,ORH
Worland,WY,WRL
Wrangell,AK,WRG
Yakima,WA,YKM
Yakutat,AK,YAK
Yellowstone/Cody,WY,COD
Youngstown,OH,YNG
Yuma,AZ,YUM
Abbotsford,BC,YXX
Akulivik,QC,AKV
Aldershot,ON-Railservice,XLY
Alexandria,ON-Railservice,XFS
Alma,QC,YTF
AnahimLake,BC,YAA
AnglingLake,ON,YAX
ArcticBay,NU,YAB
Arviat,NU,YEK
Attawapiskat,ON,YAT
Aupaluk,QC,YPJ
Bagotville,QC,YBG
BaieComeau,QC,YBC
BakerLake,NU,YBK
Bathhurst,NB,ZBF
BearskinLake,ON,XBE
BellaBella,BC,ZEL
BellaCoola,BC,QBC
Belleville,ON-Railservice,XVV
BerensRiver,MB,YBV
BigTrout,ON,YTL
BlackTickle,NL,YBI
BlancSablon,QC,YBX
Bonaventure,QC,YVB
Brampton,ON-Railservice,XPN
Brandon,MB,YBR
Brantford,ON-Railservice,XFV
Brochet,MB,YBT
Brockville,ON,XBR
BurnsLake,BC,YPZ
Calgary,AB,YYC
CambridgeBay,NU,YCB
CampbellRiver,BC,YBL
Campbellton,NB-Railservice,XAZ
CapeDorset,NU,YTE
Capreol,ON-Railservice,XAW
Cartwright,NL,YRF
Casselman,ON-Railservice,XZB
Castlegar,BC,YCG
CatLake,ON,YAC
Chambord,QC-Railservice,XCI
Chandler,QC-Railservice,XDL
Chapleau,ON,YLD
Charlottetown,NL,YHG
Charlottetown,PE,YYG
Chatham,ON,XCM
Chemainus,BC-Railservice,XHS
ChesterfieldInlet,NU,YCS
Chevery,QC,YHR
Chibougamau,QC,YMT
Chisasibi,QC,YKU
ChurchillFalls,NL,ZUM
Churchill,MB-Railservice,XAD
Churchill,MB,YYQ
ClydeRiver,NU,YCY
Cobourg,ON-Railservice,XGJ
ColvilleLake,NT,YCK
Comox,BC,YQQ
CoralHarbour,NU,YZS
Cornwall,ON,YCC
Coteau,QC-Railservice,XGK
Courtenay,BC,YCA
Cranbrook,BC,YXC
CrossLake,MB,YCR
Dauphin,MB,YDN
DavisInlet,NL,YDI
DawsonCity,YT,YDA
DawsonCreek,BC,YDQ
DeerLake,NL,YDF
DeerLake,ON,YVZ
Deline,NT,YWJ
Drummondville,QC-Railservice,XDM
Dryden,ON,YHD
Duncan/Quam,BC,DUQ
EastMain,QC,ZEM
Edmonton,AB-Railservice,XZL
Edmonton,AB-International,YEG
Esquimalt,BC,YPF
FlinFlon,MB,YFO
FondduLac,SK,ZFD
FortAlbany,ON,YFA
FortChipewyan,AB,YPY
FortFrances,ON,YAG
FortGoodHope,NT,YGH
FortHope,ON,YFH
FortMcmurray,AB,YMM
FortNelson,BC,YYE
FortSevern,ON,YER
FortSimpson,NT,YFS
FortSmith,NT,YSM
FortStJohn,BC,YXJ
FoxHarbour/StLewis,NL,YFX
FrederictonJunction,NB-Railservice,XFC
Fredericton,NB,YFC
Gander,NL,YQX
Gaspe,QC-Railservice,XDD
Gaspe,QC,YGP
Georgetown,ON-Railservice,XHM
Gethsemani,QC,ZGS
Gillam,MB,YGX
GilliesBay,BC,YGB
GjoaHaven,NU,YHK
Glencoe,ON-Railservice,XZC
GodsNarrows,MB,YGO
GodsRiver,MB,ZGI
GooseBay,NL,YYR
GrandePrairie,AB,YQU
Grimsby,ON,XGY
GriseFiord,NU,YGZ
Guelph,ON-Railservice,XIA
Halifax,NS-Railservice,XDG
Halifax,NS-International,YHZ
HallBeach,NU,YUX
