City,State/Country,Code
Hamilton,ON,YHM
HavreStPierre,QC,YGV
HayRiver,NT,YHY
Hervey,QC-Railservice,XDU
HighLevel,AB,YOJ
Holman,NT,YHI
Hopedale,NL,YHO
Houston,BC-Busstation,ZHO
HudsonBay,SK,YHB
Igloolik,NU,YGT
IlesDeLaMadeleine,QC,YGR
Ilford,MB,ILF
Ingersoll,ON-Railservice,XIB
Inukjuak,QC,YPH
Inuvik,NT,YEV
Iqaluit,NU,YFB
IslandLake/GardenHill,,YIV
Ivujivik,QC,YIK
Jasper,AB-Railservice,XDH
Joliette,QC-Railservice,XJL
Jonquiere,QC-Railservice,XJQ
Kamloops,BC,YKA
Kangiqsualujjuaq,QC,XGR
Kangiqsujuaq,QC,YWB
Kangirsuk,QC,YKG
Kapuskasing,ON,YYU
Kasabonika,ON,XKS
Kaschechewan,ON,ZKE
Keewaywin,ON,KEW
Kegaska,QC,ZKG
Kelowna,BC,YLW
Kenora,ON,YQK
Kimmirut/LakeHarbourNU,,YLC
KingfisherLake,ON,KIF
Kingston,ON-Railservice,XEG
Kingston,ON-NormanRogersAirport,YGK
Kitchener,ON,YKF
Klemtu,BC,YKT
Kugaaruk,NU,YBB
Kugluktuk/Coppermine,NU,YCO
Kuujjuaq,QC,YVP
Kuujjuarapik,QC,YGW
LaGrande,QC,YGL
LaRonge,SK,YVC
LaTabatiere,QC,ZLT
LaTuque,QC,YLQ
LacBrochet,MB,XLB
LacEdouard,QC-Railservice,XEE
Ladysmith,BC-Railservice,XEH
Langford,BC-Railservice,XEJ
LansdowneHouse,ON,YLH
LeafRapids,MB,YLR
Lethbridge,AB,YQL
Lloydminister,AB,YLL
London,ON-Railservice,XDQ
London,ON-MunicipalAirport,YXU
Lutselke/Snowdrift,NT,YSG
Mary'sHarbour,NL,YMH
Maxville,ON-Railservice,XID
MedicineHat,AB,YXH
Melville,SK-Railservice,XEK
Miramichi,NB-Railservice,XEY
Moncton,NB-Railservice,XDP
Moncton,NB-Airport,YQM
MontJoli,QC,YYY
Montreal,QC-DorvalRailservice,XAX
Montreal,QC-DowntownRailservice,YMY
Montreal,QC-StLambertRailservice,XLM
Montreal,QC-allairports,YMQ
Montreal,QC-Dorval,YUL
Montreal,QC-Mirabel,YMX
Moosonee,ON,YMO
MuskratDam,ON,MSA
Nain,NL,YDP
Nakina,ON,YQN
Nanaimo,BC-HarbourAirport,ZNA
Nanaimo,BC-CassidyAirport,YCD
Nanisivik,NU,YSR
Napanee,ON-Railservice,XIF
Natashquan,QC,YNA
Nemiscau,QC,YNS
NewCarlisle,QC-Railservice,XEL
NewRichmond,QC-Railservice,XEM
NiagaraFalls,ON-Railservice,XLV
Noranda/Rouyn,QC,YUY
NormanWells,NT,YVQ
NorthBay,ON,YYB
NorthSpiritLake,ON,YNO
NorwayHouse,MB,YNE
Ogoki,ON,YOG
OldCrow,YT,YOC
OpapamiskaLake,ON,YBS
Oshawa,ON,YOO
Ottawa,ON-Railservice,XDS
Ottawa,ON-International,YOW
OxfordHouse,MB,YOH
Pakuashipi,QC,YIF
Pangnirtung,NU,YXP
Parent,QC-Railservice,XFE
Parksville,BC-Railservice,XPB
Paulatuk,NT,YPC
PeaceRiver,AB,YPE
Peawanuck,ON,YPO
Pembroke,ON,YTA
Penticton,BC,YYF
Perce,QC-Railservice,XFG
PickleLake,ON,YPL
Pikangikum,ON,YPM
Pointe-aux-Trembles,QC-Railservice,XPX
PointsNorthLanding,SK,YNL
PondInlet,NU,YIO
PoplarHill,ON,YHP
PortAlberni,BC,YPB
PortHardy,BC,YZT
PortHopeSimpson,NL,YHA
PortMeiner,QC,YPN
Postville,NL,YSO
Povungnituk,QC,YPX
PowellRiver,BC,YPW
Prescott,ON-Railservice,XII
PrinceAlbert,SK,YPA
PrinceGeorge,BC-Railservice,XDV
PrinceGeorge,BC,YXS
PrinceRupert,BC-Railservice,XDW
PrinceRupert,BC-DigbyIslandAirport,YPR
Pukatawagan,MB-,XPK
Qikiqtarjuaq,NU,YVM
Qualicum,BC,XQU
Quaqtaq,QC,YQC
Quebec,QC-InternationalAirport,YQB
Quebec,QC-CharnyRailservice,YFZ
Quebec,QC-LevisRailservice,XLK
Quebec,QC-QuebecStationRailservice,XLJ
Quebec,QC-Sainte-FoyRailservice,XFY
Quesnel,BC,YQZ
RaeLakes,NT,YRA
RainbowLake,AB,YOP
RankinInlet,NU,YRT
RedLake,ON,YRL
RedSuckerLake,MB,YRS
Regina,SK,YQR
RepulseBay,NU,YUT
Resolute,NU,YRB
Rigolet,NL,YRG
Rimouski,QC,YXK
Riviere-a-Pierre,QC-Railservice,XRP
Roberval,QC,YRJ
RoundLake,ON,ZRJ
Rouyn/Noranda,QC,YUY
SachigoLake,ON,ZPB
SachsHarbour,NT,YSY
Sackville,NB-Railservice,XKV
SaintHyacinthe,QC-Railservice,XIM
SaintJohn,NB,YSJ
SaintJohns,NL,YYT
SaintLeonard,NB,YSL
Salluit,QC,YZG
SandyLake,ON,ZSJ
Sanikiluaq,NU,YSK
Sarnia,ON-Railservice,XDX
Sarnia,ON,YZR
Saskatoon,SK,YXE
SaultSte-Marie,ON,YAM
Schefferville,QC,YKL
Senneterre,QC-Railservice,XFK
Sept-Iles,QC,YZV
Shamattawa,MB,ZTM
Shawinigan,QC-Railservice,XFL
Shawnigan,BC-Railservice,XFM
SiouxLookout,ON,YXL
SmithFalls,ON,YSH
Smithers,BC,YYD
SnareLake,NT,YFJ
SouthIndianLake,MB,XSI
StAnthony,NL,YAY
StCatharines,ON,YCM
StMarys,ON-Railservice,XIO
SteTheresePoint,MB,YST
Stephenville,NL,YJT
StonyRapids,SK,YSF
Strathroy,ON-Railservice,XTY
Sudbury,ON-Railservice,XDY
Sudbury,ON,YSB
SummerBeaver,ON,SUR
SwanRiver,MB,ZJN
Sydney,NS,YQY
TadouleLake,MB,XTL
Taloyoak,NU,YYH
Tasiujuaq,QC,YTQ
Terrace,BC,YXT
Tete-a-LaBaleine,QC,ZTB
ThePas,MB-Railservice,XDZ
ThePas,MB,YQD
ThicketPortage,MB,YTD
Thompson,MB,YTH
ThunderBay,ON,YQT
Timmins,ON,YTS
Tofino,BC,YAZ
Toronto,ON-DowntownRailservice,YBZ
Toronto,ON-GuildwoodRailservice,XLQ
Toronto,ON-TorontoIslandAirport,YTZ
Toronto,ON-International,YYZ
Truro,NS-Railservice,XLZ
Tuktoyaktuk,NT,YUB
Tulita/FortNorman,NT,ZFN
Umiujag,QC,YUD
UraniumCity,SK,YBE
Val-d'Or,QC,YVO
Vancouver,BC-CoalHarbour,CXH
Vancouver,BC-Railservice,XEA
Vancouver,BC-International,YVR
Victoria,BC-InnerHarbor,YWH
Victoria,BC-International,YYJ
Wabush,NL,YWK
Waskaganish,QC,YKQ
Watford,ON-Railservice,XWA
Webequie,ON,YWP
Wemindji,QC,YNC
Weymont,QC-Railservice,XFQ
WhaTi/LacLaMartre,NT,YLE
WhaleCove,NU,YXN
WhiteRiver,ON,YWR
Whitehorse,YT,YXY
WilliamsHarbour,NL,YWM
WilliamsLake,BC,YWL
Windsor,ON-Railservice,XEC
Windsor,ON,YQG
Winnipeg,MB-Railservice,XEF
Winnipeg,MB-International,YWG
WollastonLake,SK,ZWL
Woodstock,ON-Railservice,XIP
WunnumminLake,ON,WNN
Wyoming,ON-Railservice,XWY
Yarmouth,NS,YQI
Yellowknife,NT,YZF
YorkLanding,MB,ZAC
Aalborg,Denmark,AAL
Aalesund,Norway,AES
Aarhus,Denmark-Busservice,ZID
Aarhus,Denmark-Tirstrup,AAR
Aasiaat,Greenland,JEG
Abadan,Iran,ABD
Abakan,Russia,ABA
Aberdeen,UnitedKingdom,ABZ
Abha,SaudiArabia,AHB
Abidjan,Coted'Ivoire,ABJ
AbuDhabi,UnitedArabEmirates,AUH
AbuSimbel,Egypt,ABS
Abuja,Nigeria,ABV
Acapulco,Mexico,ACA
Acarigua,Venezuela,AGV
Accra,Ghana,ACC
Adana,Turkey,ADA
AddisAbaba,Ethopia,ADD
Adelaide,Australia,ADL
Aden,Yemen,ADE
Adler/Sochi,Russia,AER
Adrar,Algeria,AZR
Afutara,SolomanIslands,AFT
Agadir,Morocco,AGA
Agartala,India,IXA
Agaun,PapuaNewGuinea,AUP
Agen,France,AGF
Agra,India,AGR
Agri,Turkey,AJI
Aguadilla,PuertoRico,BQN
Aguascalientes,Mexico,AGU
Aguni,Japan,AGJ
Ahmedabad,India,AMD
Ahwaz,Iran,AWZ
AilukIsland,MarshallIslands,AIM
AiounElAtrouss,Mauritania,AEO
Airok,MarshallIslands,AIC
Aitutaki,CookIslands,AIT
Aizawl,India,AJL
Ajaccio,France,AJA
Akita,Japan,AXT
Aksu,China,AKU
Aktyubinsk,Kazakhstan,AKX
Akureyri,Iceland,AEY
AlAin,UnitedArabEmirates,AAN
AlArish,Egypt,AAC
AlGhaydah,Yemen,AAY
AlHoceima,Morocco,AHU
Al-Baha,SaudiArabia,ABT
Albury,Australia,ABX
Alderney,UnitedKingdom,ACI
Aleppo,SyrianArabRepublic,ALP
AlexanderBay,SouthAfrica,ALJ
Alexandria,Egypt,ALY
Alexandroupolis,Greece,AXD
Al-Fujairah,UnitedArabEmirates,FJR
Alghero,Italy,AHO
Algiers,Algeria,ALG
Alicante,Spain,ALC
AliceSprings,Australia,ASP
Almaty,Kazakhstan,AKX
Almeria,Spain,LEI
AlorIsland,Indonesia,ARD
Alorsetar,Malaysia,AOR
Alotau,PapuaNewGuinea,GUR
Alta,Norway,ALF
Altamira,Brazil,ATM
Altay,China,AAT
Altenrhein,Switzerland,ACH
AltoRioSenguerr,Argentina,ARR
AmamiOShima,Japan,ASJ
AmazonBay,PapuaNewGuinea,AZB
Ambanja,Madagascar,IVA
Ambatomainty,Madagascar,AMY
Ambatondrazaka,Madagascar,WAM
Ambon,Indonesia,AMQ
Amboseli,Kenya,ASV
Amderma,Russia,AMV
Amman,Jordan-QueenAliaInternational,AMM
Amman,Jordan-Civil/MarkaAirport,ADJ
Amritsar,India,ATQ
Amsterdam,Netherlands,AMS
Anadyr,Russia,DYR
Analalava,Madagascar,HVA
Anapa,Russia,AAQ
Ancona,Italy,AOI
Andenes,Norway,ANX
Andizhan,Uzbekistan,AZN
Andros,Bahamas,ASD
Aneityum,Vanuatu,AUY
Angelholm/Helsingborg,Sweden,JHE
Angers,France-Marce,ANE
Angers,France-Railservice,QXG
Anggi,Indonesia,AGD
Anging,China,AQG
Angouleme,France,ANG
Anguilla,Anguilla,AXA
Aniwa,Vanuatu,AWD
Ankang,China,AKA
Ankara,Turkey-Esenboga,ESB
Ankara,Turkey-Etimesqut,ANK
Ankavandra,Madagascar,JVA
Annaba,Algeria,AAE
Annecy,France,NCY
Antalaha,Madagascar,ANM
Antalya,Turkey,AYT
Antaninvarivo,Madgascar,TNR
Antigua,AntiguaandBarbuda,ANU
Antofagasta,Chile,ANF
Antsalova,Madagascar,WAQ
Antsiranana,Madagascar,DIE
Antsohihy,Madagascar,WAI
Antwerp,Belgium-DeurneAirport,ANR
Antwerp,Belgium-Busservice,ZAY
Aomori,Japan,AOJ
Aosta,Italy,AOT
Apartado,Colombia,APO
Apia,WesternSamoa,APW
Apia,WesternSamoa,FGI
Aqaba,Jordan,AQJ
Araca,Brazil,AJU
Aracatuba,Brazil,ARU
Arad,Romania,ARW
Aragip,PapuaNewGuinea,ARP
Araguaina,Brazil,AUX
Arapoti,Brazil,AAG
Arar,SaudiArabia,RAE
Arauca,Colombia,AUC
ArbaMintch,Ethiopia,AMH
Ardabil,Iran,ADU
Arequipa,Peru,AQP
Argelholm/Helsingborg,Sweden,AGH
Argyle,Australia,GYL
Arica,Chile,ARI
Arkangelsk,Russia,ARH
Armenia,Colombia,AXM
Armidale,Australia,ARM
Arthur'sTown,Bahamas,ATC
Arua,Uganda,RUA
Aruba,Aruba,AUA
Arusha,Tanzania,ARK
Arvidsjaur,Sweden,AJR
Asahikawa,Japan,AKJ
Ashgabat,Turkmenistan,ASB
Asmara,Eritrea,ASM
Asosa,Ethopia,ASO
Assiut,Egypt,ATZ
Astana,Kazakhstan,TSE
Astrakhan,Russia,ASF
Asturias,SpainandCanaryIslands,OVD
Asuncion,Paraguay,ASU
Aswan,Egypt,ASW
Ataq,Yemen,AXK
Athens,Greece,ATH
AtiuIsland,CookIslands,AIU
Atoifi,SolomonIslands,ATD
Atuona,FrenchPolynesia,AUQ
Atyrau,Kazakhstan,GUW
Auckland,NewZealand,AKL
Augsburg/Munich,Germany,AGB
Auki,SolomonIslands,AKS
AurIsland,MarshallIslands,AUL
Aurangabad,India,IXU
Aurillac,France,AUR
Aurukun,Australia,AUU
Avignon,France,AVN
Ayawaki,Indonesia,AYW
AyersRock,Australia,AYQ
Babo,Indonesia,BXB
Bacolod,Philippines,BCD
Badajcz,Spain,BJZ
Bade,Indonesia,BXD
BaduIsland,Australia,BDD
Bagdogra,India,IXB
Baharpar,Ethiopia,BJR
Bahawalpur,Pakistan,BHV
BahiaBlanca,Argentina,BHI
BahiaPinas,Panama,BFQ
BahiaSolano,Colombia,BSC
Bahrain,Bahrain,BAH
BaiaMare,Romania,BAY
Baimuru,PapuaNewGuinea,VMU
Baku,Azerbaijan,BAK
Balalae,SolomonIslands,BAS
Balikesir,Turkey,BZI
Balikpapan,Indonesia,BPN
Balimo,PapuaNewGuinea,OPU
Ballina,Australia,BNK
Balmaceda,Chile,BBA
Bam,Iran,BXR
Bamaga,Australia,ABM
Bamako,Mali,BKO
BandaAceh,Indonesia,BTJ
BandarAbbas,Iran,BND
BandarLampung,Indonesia-Branti,TKG
BandarLengeh,Iran,BDH
BandarSeriBegawan,Brunei,BWN
Bandung,Indonesia,BDO
Bangalore,India,BLR
Bangda,China,BPX
Bangkok,Thailand,BKK
BanjaLuka,BosniaHerzegovina,BNX
Banjarmasin,Indonesia,BDJ
Banjul,Gambia,BJL
Banmethuot,VietNam-Phung-Doc,BMV
Bannu,Pakistan,BNP
Banqui,CentralAfricanRepublic,BGF
Baoshan,China,BSD
Baotou,China,BAV
Baracoa,Cuba,BCA
Barcaldine,Australia,BCI
Barcelona,Spain,BCN
Barcelona,Venezuela,BLA
Bardufoss,Norway,BDU
Bari,Italy,BRI
Barinas,Venezuela,BNS
Bario,Malaysia,BBN
Barisal,Bangladesh,BZL
Barnaul,Russia,BAX
Barquisimeto,Venezuela,BRM
BarraColorado,CostaRica,BCL
Barra,UnitedKingdom,BRR
BarranCabermeja,Colombia,EJA
Barranquilla,Colombia,BAQ
Barreiras,Brazil,BRA
Basco,Philippines,BSO
Basel,Switzerland,BSL
Basel/MulhouseRailwayStation,Switzerland,ZDH
Bashehr,Iran,BUZ
Bastia,France,BIA
Batam,Indonesia,BTH
BathurstIsland,Australia,BRT
Bathurst,Australia,BHS
Batman,Turkey,BAL
Batna,Algeria,BLJ
Batom,Indonesia,BXM
Batsfijord,Norway,BJF
Battambang,Cambodia,BBM
Batumi,Georgia,BUS
Batuna,SolomonIslands,BPF
Bauru,Brazil,BAU
Bayamo,Cuba,BYM
Bayreuth,Germany,BYU
Bechar,Algeria,CBH
Bedourie,Australia,BEU
BeefIsland,BritishVirginIslands,EIS
Beica,Ethiopia,BEI
Beida,Libya-LaBraq,LAQ
Beihai,China,BHY
Beijing,China,PEK
Beira,Mozambique,BEW
Beirut,Lebanon,BEY
Bejaia,Algeria,BJA
Belaga,Mozambique,BLG
Belem,Brazil,BEL
BelepIsland,NewCaledonia,BMY
Belfast,UnitedKingdom,BFS
Belfast,UnitedKingdom,BHD
Belgorod,Russia,EGO
Belgrade,SerbiaandMontenegro-Beograd,BEG
BelizeCity,Belize-International,BZE
BelizeCity,Belize-Municipal,TZA
Bellona,SolomonIslands,BNY
Belo,Madagascar,BMD
BeloHorizonte,Brazil-TancredoNevesIntl.,CNF
BeloHorizonte,Brazil-Pampulha,PLU
Benbecula,UnitedKingdom,BEB
Benghazi,Libya,BEN
Bengkulu,Indonesia,BKS
Berau,Indonesia,BEJ
Berbera,Somalia,BBO
Bergen,Norway,BGO
Bergerac,France,EGC
Berlevag,Norway,BVG
Berlin,Germany-Allairports,BER
Berlin,Germany-Tegel,TXL
Berlin,Germany-Tempelhof,THF
Berlin,Germany-Schoenefeld,SXF
Bermuda,Bermuda,BDA
Berne,Switzerland-BelpAirport,BRN
Berne,Switzerland-Railservice,ZDJ
Besalampy,Madagascar,BPY
Beziers,France,BZR
Bhadrapur,Nepal,BDP
Bhairawa,Nepal,BWA
Bhamo,Myanmar,BMO
Bharatpur,Nepal,BHR
Bhavnagar,India,BHU
Bhopal,India,BHO
Bhubaneswar,India,BBI
Bhuj,India,BHJ
Biak,Indonesia,BIK
Biarritz,France,BIQ
BikiniAtoll,MarshallIslands,BII
Bilbao,Spain,BIO
Billund,Denmark,BLL
Bima,Indonesia,BMU
Bimini,Bahamas,BIM
Bimini,Bahamas,NSB
Bintulu,Malaysia,BTU
Bintuni,Indonesia,NTI
Biratragar,Nepal,BIR
Birdsville,Australia,BVI
Birmingham,UnitedKingdom,BHX
Bisha,SaudiArabia,BHH
Bishkek,Kyrgyzstan,FRU
Biskra,Algeria,BSK
Bissau,Guinea-Bissau,OXB
Blackall,Australia,BKQ
Blackpool,UnitedKingdom,BLK
Blackwater,Australia,BLT
Blagoveschensk,Russia,BQS
Blantyre,Malawi,BLZ
Blenheim,NewZealand,BHE
BloHorizonte,Brazil,CNF
Bloemfontein,SouthAfrica,BFN
BoaVista,CapeVerde,BVC
Boang,PapuaNewGuinea,BOV
Boavista,Brazil,BVB
BocasDelToro,Panama,BOC
Bodo,Norway,BOO
Bodrum,Turkey,BJV
Bogota,Colombia,BOG
BoijuIsland,Australia,GIC
Bojnord,Iran,BJB
Bokondini,Indonesia,BUI
Bol,Croatia,BWK
Bolzano,Italy,BZO
Boma,Congo,BOA
Bombay,India,BOM
Bonaire,NetherlandsAntilles,BON
Bonn,Germany,BNJ
BoraBora,FrenchPolynesia,BOB
Bordeaux,France,BOD
BorgElArab,Egypt,HBE
Borkum,Germany,BMK
Borlange,Sweden,BLE
Bornholm,Denmark,RNN
Borroloola,Australia,BOX
Bossaro,Somalia,BSA
Boulia,Australia,BQL
Bourgas,Bulgaria,BOJ
Bourke,Australia,BRK
Bournemouth,UnitedKingdom,BOH
Brack,Libya,BCQ
BramptonIsland,Australia,BMP
Brasilia,Brazil,BSB
Bratislava,Slovakia,BTS
Bratsk,Russia,BTK
Braunschweig,Denmark,BWE
Brazzaville,Congo,BZV
Bremen,Germany,BRE
Brest,France,BES
Brewarrina,Australia,BWQ
Bridgetown,Barbados,BGI
Brindisi,Italy,BDS
Brisbane,Australia,BNE
Bristol,UnitedKingdom,BRS
Brive-La-Gaillarde,France-LarocheBVE
Brno,CzechRepublic-Turany,BRQ
Brno,CzechRepublic-Busservice,ZDN
BrokenHill,Australia,BHQ
Bronnoysund,Norway,BNN
Broome,Australia,BME
BrusLaguna,Honduras,BHG
Brussels,Belgium-National,BRU
Brussels,Belgium-Railservice,ZYR
Brussels,Belguim-Charleroi,CRL
Bucaramanga,Colombia,BGA
Bucharest,Romania-Baneasa,BBU
Bucharest,Romania-OtopeniInternational,OTP
Budapest,Hungary,BUD
BuenosAires,Argentina-JorgeNewbery,AEP
BuenosAires,Argentina-MinistroPistarini,EZE
Bugulma,Russia,UUA
Bujumbura,Burundi,BJM
Buka,PapuaNewGuinea,BUA
Bukhara,Uzbekistan,BHK
Bukoba,Malaysia,BKZ
Bulawayo,Zimbabwe,BUQ
Bulgulma,Russia,UUA
Bundaberg,Australia,BDB
Bunsil,PapuaNewGuinea,BXZ
Burao,Somalia,BUO
Bureta,Fiji,LEV
BuriRam,Thailand,BFV
Burketown,Australia,BUC
Burnie,Australia,BWT
Busan,SouthKorea-Gimhae,PUS
Butuan,Philippines,BXU
Bydgoszcz,Poland,BZG
CaboSanLucas,Mexico,SJD
Caen,France,CFR
CagayanDeOro,Philippines-Lumbia,CGY
Cagliari,Italy,CAG
Cairns,Australia,CNS
Cairo,Egypt,CAI
Cajamarca,Peru,CJA
Calabar,Nigeria,CBQ
Calama,Chile,CJC
Calcutta,India,CCU
Cali,Colombia,CLO
Calvi,France,CLY
Camaguey,Cuba,CMW
Cambridge,UnitedKingdom,CBG
Camodoro,Argentina,CRD
Campbeltown,UnitedKingdom,CAL
Campeche,Mexico,CPE
CampinaGrande,Brazil,CPV
Campinas,Brazil,CPQ
CampoGrande,Brazil,CGR
Campos,Brazil,CAW
Canaima,Venezuela,CAS
Canberra,Australia,CBR
Cancun,Mexico,CUN
Cannes,France-Mandelieu,CEQ
Cannes,France-CoisetteHeliport,JCA
Cannes,France-VieuxPort,QYW
Canouan,SaintVincentandtheGrenadines,CIW
CapHaitien,Haiti,CAP
CapeOrford,PapuaNewGuinea,CPI
CapeTown,SouthAfrica,CPT
CapeVogel,PapuaNewGuinea,CVL
Caracas,Venezuela,CCS
Carajas,Brazil,CKS
Carcassonne,France,CCF
Cardiff,UnitedKingdom,CWL
Carnarvon,Australia,CVQ
Carrillo,CostaRica,RIK
Cartagena,Colombia,CTG
Carupani,Venezuela,CUP
Casablanca,Morocco-Anfa,CAS
Casablanca,Morocco-MohamedV,CMN
Cascavel,Brazil,CAC
Casino,Australia,CSI
Castaway,Fiji,CST
Castres,France,DCM
Catamarca,Argentina,CTC
Catania,Italy,CTA
Caucasia,Colombia,CAQ
CaxiasDoSul,Brazil,CXJ
Cayenne,FrenchGuiana,CAY
CaymanBracIs,Cambodia,CYB
CayoLargoDelSur,Cuba,CYO
Cebu,Philippines-MatanInternational,CEB
Cedun,Australia,CED
Ceuta,SpainandCanaryIslands,JCU
Chah-Bahar,Iran,ZBR
Chambery,France,CMF
Chandigarh,India,IXC
Changchun,China,CGQ
Changde,China,CGD
Changuinda,Panama,CHX
Changzhou,China,CZX
Chania,Greece,CHQ
Chaoyang,China,CHG
Chapeco,Brazil,XAP
